header,user,body,title
post-traumatic-stress-disorder-ptsd,LostScorpio,"Hello I have Complex PTSD, depression and serious anxiety problems. I am tired of dealing with all of this everyday. I would never inflict harm on myself or others though. I joined this group so I could maybe have people to talk to........if I can help others, that would be great too!",Tired
post-traumatic-stress-disorder-ptsd,SurvivingEveryday,"My PTSD symptoms include an overwhelming shame. It can be overwhelming at times. Part of it is shame for the things that happened to me, and part of it is shame for the things that I truly did. 

I know we ""sufferers"" can manifest things differently, and for me my shame is overwhelming at times. 

How",Feeling Shame...
post-traumatic-stress-disorder-ptsd,SurvivingEveryday,"My PTSD symptoms include an overwhelming shame. It can be overwhelming at times. Part of it is shame for the things that happened to me, and part of it is shame for the things that I truly did. 

I know we ""sufferers"" can manifest things differently, and for me my shame is overwhelming at times. 

How",Shame
post-traumatic-stress-disorder-ptsd,SurvivorF,"I lost my dog of 15 years on July 7th and I've been having a really hard time with it I don't feel like I'm understood where I am, I already struggle with ptsd anxiety panic disorder and depression",Depression and grief
post-traumatic-stress-disorder-ptsd,ChelseaBlue01,"Hi this is my first post to this group.



Ive recently been diagnosed with PTSD after seeing a specialist neuropsychiatrist for Non epileptic attack disorder. I was just wondering if there is anyone on here that also has this diagnosis? im really struggling to accept the PTSD diagnosis and the seizures",Dissociative seizures from PTSD
post-traumatic-stress-disorder-ptsd,Sushi2345,"I can’t get over my ex for the life of me and it’s almost been a year .  Thoughts pop up of her all day long ,  I get flashbacks of our relationship,  fear at times ,  scared to leave my house since she lives close to me .    What is this ?  Trauma ? PTSD ?  C-PTSD?   It’s super sad .     I’ve done EMDR",Intrusive thoughts of Ex
post-traumatic-stress-disorder-ptsd,Zyalishawn,"for years I’ve suffered from ptsd, I haven’t worked on it yet have been to therapy just never invested in it. Now it’s effecting my family and I’m tired of it I just want to learn the tools to use to cope with it because my family deserves better",help me please my ptsd
post-traumatic-stress-disorder-ptsd,210272,"... so hope it will be beneficial to p/w FND too :) 
https://doi.org/10.1136/bmjopen-2023-073727",This looks interesting :) I know people with PTSD who have benefited from EMDR ...
post-traumatic-stress-disorder-ptsd,Downinil,"Hi, I’ve been living with clinical depression, OCD, and anxiety since about age 9. Recently I’ve been diagnosed with agoraphobia and PTSD as well. I’m managing Chronic pain and chronic kidney disease as well. I’m reaching out to people who may understand my situation and be able to provide some emotional",Help!
post-traumatic-stress-disorder-ptsd,Bossingit,"I was diagnosed SLE last year. Recovery and getting on meds was going pretty well, returning to work etc. 

more recently I’ve returned to counselling due to a decline in my mental health. After about a month of sessions my counsellor started mentioning PTSD and has asked me to fill in an assessment,","SLE diagnosis, potential PTSD"
post-traumatic-stress-disorder-ptsd,AussieNeil,"[i]You have probably heard of “fight or flight” responses to distressing situations. You may also be familiar with the tendency to “freeze”. But there is another defence or survival strategy a person can have: “fawn”.[/i]

[i][/i]

From https://theconversation.com/what-is-fawning-how-is-it-related-to-trauma-and-the-fight-or-flight-response","What is ‘fawning’ - the lesser known of the 4 F's? How is it related to trauma, PTSD and the ‘fight or flight’ response?"
post-traumatic-stress-disorder-ptsd,applejax7,I'm looking at a potential C-PTSD diagnosis with abandonment issues.  Any advice/experiences/general knowledge anyone has would be SUPER appreciated.,C-PTSD?
post-traumatic-stress-disorder-ptsd,Amalyy,"Hello everyone, first of all I apologize for my english (I'm from Morocco), we don't have support groups over here. I wanted to ask you guys If PTSD can also become generalized anxiety disorder? I have severe panic attacks since 2014.",Anxiety/ptsd
post-traumatic-stress-disorder-ptsd,Against_the_current,"Firstable i thought dad's the bad guy. Then mom. Adored sis and thought she's much stronger and mature than me. Then sis told dad about my job without my permission and he will stop my funds and i felt like those two betrayers. Or maybe im overreacting, i hope i am. Then mom supported me on the phone",Idk who is who in my family 
post-traumatic-stress-disorder-ptsd,kainasar,"Is this PTSD? 

Last week a special word lead me to a very painful drama far in the past that hasnt been thought of in many years.

 Now memories and images repeat and all the painful is ever present with each image. Brain wants to process, so the painful emotions and tears return. 

Im taking Zoloft",the keyword
obsessive-compulsive-disorder-ocd,ADAATeamRachel,"Sixteen-year-old Anahid discusses her struggle with  -    ( ). She tells her journey of going through 10 different therapists, multiple medications, and new fears until finally, she found the help that she needed. 
""OCD is not rational.",ADAA Story of Triumph: OCD Took My Life Away at the Age of 8
obsessive-compulsive-disorder-ocd,Blu_A22,Its been awhile since I've posted. I need to be consistent with journaling I tend to think once I feel better I am out of the rut. I am getting hit left and right with its the steps I am taking to make it better. It wont all go away in one day. I am back taking Venflaxine ER but my psychiatrist up the,working through it
obsessive-compulsive-disorder-ocd,Hope61,"I switched from Sertraline to Wellbutrin. I didn't think it was affecting me negatively but didn't want to take any chance in my search to lessen my RLS symptoms. But I think Sertraline helped depression but also OCD tendencies. 
What is the best OCD med for a person with RLS too ?",Ocd 
obsessive-compulsive-disorder-ocd,Ladytrue,Well I went off my meds in late July. I have done well and now things are acting up again.  Going to start Trintellex tonight. I was on mirtazapine but was starting to gain weight.  Part of my anxiety is starting up new medication as well.  Ugh how I do not like this at all!,Here we go again!
obsessive-compulsive-disorder-ocd,Sharkweek178,Depression isn't like people think.  It's not sadness.  It's a weight.  I don't feel like doing anything except eating and playing video games.  I know exercise would help.  But I can't get myself to do it.  I know talking to loved ones would help.  But I can't figure out how to make a call.  I manage,I'm stuck
obsessive-compulsive-disorder-ocd,Bucketlady,Finally withdrawal done. No more depression meds. Lost 10 lbs and  head clearer.  Still dealing with cheating spouse. Closing on new home in another state..with him. Only thing good about it is will be so much closer to my family. Still suffer from panic attacks but thankfully few and far between.  I,Light at end of tunnel?
obsessive-compulsive-disorder-ocd,GreenOpera,"Hi, I was scheduled for my last Buserelin injection on Thursday ahead of FET next week (Thursday). I thought I had just enough left in the vial but there were only a few drops when I drew it up so I didn't get a full injection (or anything close) Initially I wasn't worried, my lining looked good at D9",Ran out of Buserelin - FET
obsessive-compulsive-disorder-ocd,Isabella5991,"Has anyone that’s been diagnosed with cyclothmia also had an episode of psychosis with extreme mania? (Mine was delayed post partum psychosis at 10 months) 

I’m really confused. My mental health team said I’m too complex to give a final diagnosis yet, as I’ve had lots and lots of different mental health",wrong possible diagnosis? 
obsessive-compulsive-disorder-ocd,Grandmakris,"I have bipolar 1, anxiety and OCD. I have been in remission for about 15 years, but recently I have been experiencing feelings of depression and low self esteem. I have an excellent doctor and will be contacting him tomorrow. I would like to know what coping strategies others use when they feel that",Depression
obsessive-compulsive-disorder-ocd,lizziebennet,Did anyone take Sertraline or another SSRI with Olanzapine. I have bad anxiety and am scared of Olanzapine because of a higher cardiac event risk. And then if you add Sertraline it can also cause adverse affects.  So anxious about Olanzapine and then both.,Sertraline or SSRI with Olanzapine 
obsessive-compulsive-disorder-ocd,Sarah106,"Hello,
My brother was diagnosed with Parkinson's three years ago.  Another Consultant thinks he might have MSA or Parkinson Plus. Has anyone had MIBG Test for the MSA in West Midlands? Any recommendations for good consultants in West Midlands or nearby? Thanks",Parkinson's/ MSA Consultants in West Midlands 
obsessive-compulsive-disorder-ocd,Autolupus,"So I have my rheumatology appointment next week so hopefully will get a better understanding of what's going on. In the meantime I am on mycophenalate and a  weaning dose of prednisolone for eye inflammation, started with 800mg in December and am now on 2.5mg before stopping in 2 months time. However",What's your experience of coming of steroids
obsessive-compulsive-disorder-ocd,ekhctohct,I've struggled with anxiety and depression my entire life but I spent most of my 20s using drugs and alcohol as a coping mechanism. I still have some substance abuse issues but the more I deal with those the more overwhelming the depression and anxiety is. I can't seem to keep my home clean or up on,The lonely cycle
obsessive-compulsive-disorder-ocd,Mymindandme000,"Hi  everyone!  I know  a lot of you know That I talked about me having been diagnosed with bipolar! I never really did  a “Whole lot of research “  until recently and today. I just believed the psychologist and started taking meds for it.  I read that people that have the  disorder get angry a lot, and",Can someone please answer this question?
obsessive-compulsive-disorder-ocd,KingkittyS,"I come now feeling depressed and defeated. I feel mostly sad than mad. I am angry about life. I had enough of people breaking my heart, by leaving me to start their new life as an adult. I am hurting deeply. Just as a background about me, I have high functioning autism, bipolar 2, and have suicidal thoughts",hello darkness 
obsessive-compulsive-disorder-ocd,Mymindandme000,"hi everyone!  I’m still new to this forum and I would like to hear from anyone who can answer my question.    As some of you have read my posts I do mention about being depressed and  anxious high feelings. and. struggling and this is the correct forum for this!

However, I have also discussed about",Need A little help!
