Concern,body,title
"Today I finally went to a psychiatrist and got formally diagnosed with dysthymia. Not sure how to feel about it. On one hand, it sucks having this but in the other, now I know it is something else and not just me being dramatic and exagerating my feelings. ,Anyways, they gaved me Fluoxetine for 1 month. Do any of you have any particular experience with taking this specific drug or any other SSRI? I know I have to take them, earlier this year we studied about antidepressants and know somewhat well how they work and what to expect, but I am still nervous/afraid about finally starting treatment.,Any info or experience would help , thanks in advance 🙏",I’m on that now and it’s working for me. It took the psychiatrist a year to get me on a cocktail of drugs to get me stable. But they’re working now. And it’s a blessing. Good luck. I don’t think you need to be afraid.,Finally diagnosed + Fluoxetine help
"I don’t even know if I have the ability to type this, I can’t think straight.  I’m really falling apart, my depression has gotten so deep.   I don’t want to go anywhere or do anything.   I don’t leave my room.   My outlook on life is terrible.  I’ve completely lost interest in everything.  when I’m not feeling totally depressed my anxiety will be intolerable.  I have a six year old son that loves me and I love him so much that I never see. and  a 15 year old daughter that doesn’t seem to want to see me.  I wait for the days to end. I don’t know how much of this I can do anymore.  if I’m out I just want to go back into my room.   I’m deeply sad… the room I live in I have been here two months and still haven’t unpacked.  I was going on walks but I can’t seem to find the courage to do that.  I’m terribly lonely but I’m not trying to have anyone around, I would want to try and be by myself I don’t understand.  the only person I feel like can help me is me.  I’m afraid I’m too exhausted to try.  ",I am so sorry for your suffering.  I am glad you are here reaching out for support.  You are not alone.  I hope this site can help you as much as it has helped me.   I wish you the very best.  Just keep reaching out.,very depressed 
"I don’t even know if I have the ability to type this, I can’t think straight.  I’m really falling apart, my depression has gotten so deep.   I don’t want to go anywhere or do anything.   I don’t leave my room.   My outlook on life is terrible.  I’ve completely lost interest in everything.  when I’m not feeling totally depressed my anxiety will be intolerable.  I have a six year old son that loves me and I love him so much that I never see. and  a 15 year old daughter that doesn’t seem to want to see me.  I wait for the days to end. I don’t know how much of this I can do anymore.  if I’m out I just want to go back into my room.   I’m deeply sad… the room I live in I have been here two months and still haven’t unpacked.  I was going on walks but I can’t seem to find the courage to do that.  I’m terribly lonely but I’m not trying to have anyone around, I would want to try and be by myself I don’t understand.  the only person I feel like can help me is me.  I’m afraid I’m too exhausted to try.  ",Some days are like that - keep thinking of good times where you did well- another day is just another round of fight.  Keep looking for positives and who knows your mood will pick up.  Gratitude journal or affirmations to keep you going.  Keep fighting depression and you will choose to do well another day,very depressed 
"I don’t even know if I have the ability to type this, I can’t think straight.  I’m really falling apart, my depression has gotten so deep.   I don’t want to go anywhere or do anything.   I don’t leave my room.   My outlook on life is terrible.  I’ve completely lost interest in everything.  when I’m not feeling totally depressed my anxiety will be intolerable.  I have a six year old son that loves me and I love him so much that I never see. and  a 15 year old daughter that doesn’t seem to want to see me.  I wait for the days to end. I don’t know how much of this I can do anymore.  if I’m out I just want to go back into my room.   I’m deeply sad… the room I live in I have been here two months and still haven’t unpacked.  I was going on walks but I can’t seem to find the courage to do that.  I’m terribly lonely but I’m not trying to have anyone around, I would want to try and be by myself I don’t understand.  the only person I feel like can help me is me.  I’m afraid I’m too exhausted to try.  ","Dearest litethatnevergoesout. You are grieving and grieving takes time.  Not that you may overcome it but may be better able to accept it so you can move on.  It's too soon.  Your emotions are raw. Your thoughts are in high gear.  Changes all around you that you cannot accept yet. This is all normal as to the trauma you have been through.  Lonely but not wanting to be with anyone is a given.  You need the time to figure things out for yourself. And yes, you are the only one who can help you get better.  For a start, unpacking would be a first step. . Living out of a box makes you feel even more lost and possibly unwanted.  Staying in your bedroom all day is not good for the mind or the soul. You are a live and breathing human who needs to feel life around you and not just exist from one day to another.   I would suggest even if you don't go out, to get washed and dressed each day.  When the time is right, you will take that extra step forward and get out.  Looking into the mirror and seeing a more positive mirror of yourself is a start.  No matter how small, it's about one step at a time.   We're here for you.  My best new friend     xx",very depressed 
"I don’t even know if I have the ability to type this, I can’t think straight.  I’m really falling apart, my depression has gotten so deep.   I don’t want to go anywhere or do anything.   I don’t leave my room.   My outlook on life is terrible.  I’ve completely lost interest in everything.  when I’m not feeling totally depressed my anxiety will be intolerable.  I have a six year old son that loves me and I love him so much that I never see. and  a 15 year old daughter that doesn’t seem to want to see me.  I wait for the days to end. I don’t know how much of this I can do anymore.  if I’m out I just want to go back into my room.   I’m deeply sad… the room I live in I have been here two months and still haven’t unpacked.  I was going on walks but I can’t seem to find the courage to do that.  I’m terribly lonely but I’m not trying to have anyone around, I would want to try and be by myself I don’t understand.  the only person I feel like can help me is me.  I’m afraid I’m too exhausted to try.  ","Hi LYNGO -  I could have written this same post today. My depression is also very deep. I did just get my anxiety under control, and I am so grateful. Anxiety is not fun. I have been focusing on getting my nervous system regulated to control the anxiety; stretching and doing whatever movement I can manage every day. Maybe you and your son could do that together? You could even do a kids yoga video! Anything to stretch a bit and get some oxygen flowing through your body will help with both anxiety and depression. Try not to be afraid of your anxiety - the fear is not a fact. Not at all. If you haven't already, look for ways to get grounded/regulate the nervous system. You can do this.  And, try to make a dent in those boxes. Start with a tiny chunk. Work on it for 5 minutes and rest for 5. Continue as you can. Try not to be hard on yourself. Try to give yourself some loving encouragement. Try to take a full, slow breath (count to 4) and a longer, slower exhale (count to 6).  I hope this is helpful. If not, just discard, and please know that you are not alone. There is an epidemic of depression and it is not your fault.  Rooting for you! Christine",very depressed 
"I don’t even know if I have the ability to type this, I can’t think straight.  I’m really falling apart, my depression has gotten so deep.   I don’t want to go anywhere or do anything.   I don’t leave my room.   My outlook on life is terrible.  I’ve completely lost interest in everything.  when I’m not feeling totally depressed my anxiety will be intolerable.  I have a six year old son that loves me and I love him so much that I never see. and  a 15 year old daughter that doesn’t seem to want to see me.  I wait for the days to end. I don’t know how much of this I can do anymore.  if I’m out I just want to go back into my room.   I’m deeply sad… the room I live in I have been here two months and still haven’t unpacked.  I was going on walks but I can’t seem to find the courage to do that.  I’m terribly lonely but I’m not trying to have anyone around, I would want to try and be by myself I don’t understand.  the only person I feel like can help me is me.  I’m afraid I’m too exhausted to try.  ","So sorry to hear you're feeling like this. On the bright side, this community is supportive, and you are not alone.🙂",very depressed 
"I don’t even know if I have the ability to type this, I can’t think straight.  I’m really falling apart, my depression has gotten so deep.   I don’t want to go anywhere or do anything.   I don’t leave my room.   My outlook on life is terrible.  I’ve completely lost interest in everything.  when I’m not feeling totally depressed my anxiety will be intolerable.  I have a six year old son that loves me and I love him so much that I never see. and  a 15 year old daughter that doesn’t seem to want to see me.  I wait for the days to end. I don’t know how much of this I can do anymore.  if I’m out I just want to go back into my room.   I’m deeply sad… the room I live in I have been here two months and still haven’t unpacked.  I was going on walks but I can’t seem to find the courage to do that.  I’m terribly lonely but I’m not trying to have anyone around, I would want to try and be by myself I don’t understand.  the only person I feel like can help me is me.  I’m afraid I’m too exhausted to try.  ","I am truly sad to hear this. It is very hard to be separated from your children, especially both at once. the 15-year-old is at an age that there is hope still. They can make a lot of changes as they grow up, even change their minds about their parents. It can take a while, but can happen.  I am writing as someone who went through separation from a baby. It was not caused by anything I had done to the baby, but from a sudden illness. My parents lost their first child permanently, when he wandered away at the age of 3,  fell, hit his head and drowned in a fishpond. That affected them both very deeply for the rest of their lives. It may have been why they argued very loudly almost every day.  I am so sorry you are having to go through this. It can get better, including your mental state, even though you don't, or can't see it.....can't see any possibility of it. There are unexpected things that you wouldn't predict that can still happen and change things. Everything you see and feel us going on at the same time as things you are not even aware of yet. I hope that, and want you to, stick around long enough to find out.",very depressed 
"I don’t even know if I have the ability to type this, I can’t think straight.  I’m really falling apart, my depression has gotten so deep.   I don’t want to go anywhere or do anything.   I don’t leave my room.   My outlook on life is terrible.  I’ve completely lost interest in everything.  when I’m not feeling totally depressed my anxiety will be intolerable.  I have a six year old son that loves me and I love him so much that I never see. and  a 15 year old daughter that doesn’t seem to want to see me.  I wait for the days to end. I don’t know how much of this I can do anymore.  if I’m out I just want to go back into my room.   I’m deeply sad… the room I live in I have been here two months and still haven’t unpacked.  I was going on walks but I can’t seem to find the courage to do that.  I’m terribly lonely but I’m not trying to have anyone around, I would want to try and be by myself I don’t understand.  the only person I feel like can help me is me.  I’m afraid I’m too exhausted to try.  ","My daughter who is doing internship in Medicine is undergoing this process for the last three years.  There are days I felt I have not understood my daughter.  She is so much immobilized it was painful to watch her suffering.  During this period what I learnt is1. Physical activities helps. 2. Talk therapy helps 3. Facing the situation that gives anxiety helps. 4. When the anxiety / panic attack comes taking rest helps and at the same time rest not necessarily lying on the bed, instead one can watch movies that interests you or visit places which normally you love to visit. 5. Taking regular medicine helps The above are things comes to my mind about anxiety attack.  Regarding her future we don't know how it will unfold. But with the hope that things will improve we are fighting.   At one stage we considered SGB injection as part of treatment which is practiced in Annapolis, MD, USA.  Since we are unable to get some real data we have not taken that route.  If anybody have information on this please share and we still keeping it as option. By reading your post it reminds me of my daughter situation just 18 months ago.  She felt the same way you are feeling now.  Now she is much much better than what she was a year and half ago.  Please keep it in mind it is temporary phase and it will pass and try your best to do physical activities apart from other medical treatment. Please try to talk to your dear ones which will help you a lot.  Unless you talk, the care giver cannot understand you and support you.   I hope the above helps.",very depressed 
"I don’t even know if I have the ability to type this, I can’t think straight.  I’m really falling apart, my depression has gotten so deep.   I don’t want to go anywhere or do anything.   I don’t leave my room.   My outlook on life is terrible.  I’ve completely lost interest in everything.  when I’m not feeling totally depressed my anxiety will be intolerable.  I have a six year old son that loves me and I love him so much that I never see. and  a 15 year old daughter that doesn’t seem to want to see me.  I wait for the days to end. I don’t know how much of this I can do anymore.  if I’m out I just want to go back into my room.   I’m deeply sad… the room I live in I have been here two months and still haven’t unpacked.  I was going on walks but I can’t seem to find the courage to do that.  I’m terribly lonely but I’m not trying to have anyone around, I would want to try and be by myself I don’t understand.  the only person I feel like can help me is me.  I’m afraid I’m too exhausted to try.  ","Hello, I hear you.  Have you ever seen a psychiatrist? I wonder have you had a diagnosis ?  You said you moved two months ago….. this can trigger a lot in ourselves especially when past trauma is involved. Have you had past trauma or things that have happened that have been out of your control?  I hope you don’t mind me asking these questions. I have been in this very dark abyss myself several times ….. I know it’s u resolved past and more recent traumas that get triggered. Or I get absolutely exhausted mentally and physically from juggling too many balls in the air which can cause it also.  xx",very depressed 
"I don’t even know if I have the ability to type this, I can’t think straight.  I’m really falling apart, my depression has gotten so deep.   I don’t want to go anywhere or do anything.   I don’t leave my room.   My outlook on life is terrible.  I’ve completely lost interest in everything.  when I’m not feeling totally depressed my anxiety will be intolerable.  I have a six year old son that loves me and I love him so much that I never see. and  a 15 year old daughter that doesn’t seem to want to see me.  I wait for the days to end. I don’t know how much of this I can do anymore.  if I’m out I just want to go back into my room.   I’m deeply sad… the room I live in I have been here two months and still haven’t unpacked.  I was going on walks but I can’t seem to find the courage to do that.  I’m terribly lonely but I’m not trying to have anyone around, I would want to try and be by myself I don’t understand.  the only person I feel like can help me is me.  I’m afraid I’m too exhausted to try.  ","Sometimes the weight of life feels heavier than we are capable of carrying. Kudos to you for reaching out and finding the energy to finishing typing. In the morning try to set small goals for yourself… today I will shower, eat 3 meals, and remember 3 positive memories. When I was that down I had to get some medication and start a daily walk to get some chemicals going in my mind. It was hard but I didn’t know what else to do.",very depressed 
"I don’t even know if I have the ability to type this, I can’t think straight.  I’m really falling apart, my depression has gotten so deep.   I don’t want to go anywhere or do anything.   I don’t leave my room.   My outlook on life is terrible.  I’ve completely lost interest in everything.  when I’m not feeling totally depressed my anxiety will be intolerable.  I have a six year old son that loves me and I love him so much that I never see. and  a 15 year old daughter that doesn’t seem to want to see me.  I wait for the days to end. I don’t know how much of this I can do anymore.  if I’m out I just want to go back into my room.   I’m deeply sad… the room I live in I have been here two months and still haven’t unpacked.  I was going on walks but I can’t seem to find the courage to do that.  I’m terribly lonely but I’m not trying to have anyone around, I would want to try and be by myself I don’t understand.  the only person I feel like can help me is me.  I’m afraid I’m too exhausted to try.  ","I didn't know what to say in response, but I prayed for you.",very depressed 
"I don’t even know if I have the ability to type this, I can’t think straight.  I’m really falling apart, my depression has gotten so deep.   I don’t want to go anywhere or do anything.   I don’t leave my room.   My outlook on life is terrible.  I’ve completely lost interest in everything.  when I’m not feeling totally depressed my anxiety will be intolerable.  I have a six year old son that loves me and I love him so much that I never see. and  a 15 year old daughter that doesn’t seem to want to see me.  I wait for the days to end. I don’t know how much of this I can do anymore.  if I’m out I just want to go back into my room.   I’m deeply sad… the room I live in I have been here two months and still haven’t unpacked.  I was going on walks but I can’t seem to find the courage to do that.  I’m terribly lonely but I’m not trying to have anyone around, I would want to try and be by myself I don’t understand.  the only person I feel like can help me is me.  I’m afraid I’m too exhausted to try.  ","I hear you!! Feel exactly the same. Really really struggling to even want to be alive half the time. As soon as the tiniest inconvenience comes around that’s it I’m in meltdown and can’t handle anything dnt want to see people talk to anyone.  Have you spoken with drs and therapists at all? I dnt find therapist work for me at all.  But I had been on sertraline for 4yesrs which helped I felt majorly I’m now taken myself of them cos the wish to be dead recently has been to unreal.  I dnt think they’re helping me at all, but I think talkin with a dr would be good for you: has anything happened to make you feel this way?  Sending love. Life can be so lonely, I’m here if u need to vent. 💕",very depressed 
"I don’t even know if I have the ability to type this, I can’t think straight.  I’m really falling apart, my depression has gotten so deep.   I don’t want to go anywhere or do anything.   I don’t leave my room.   My outlook on life is terrible.  I’ve completely lost interest in everything.  when I’m not feeling totally depressed my anxiety will be intolerable.  I have a six year old son that loves me and I love him so much that I never see. and  a 15 year old daughter that doesn’t seem to want to see me.  I wait for the days to end. I don’t know how much of this I can do anymore.  if I’m out I just want to go back into my room.   I’m deeply sad… the room I live in I have been here two months and still haven’t unpacked.  I was going on walks but I can’t seem to find the courage to do that.  I’m terribly lonely but I’m not trying to have anyone around, I would want to try and be by myself I don’t understand.  the only person I feel like can help me is me.  I’m afraid I’m too exhausted to try.  ","Reaching out when you feel down, may not (always) be the solution(s)  but if you get replies from people that can relate to how you feel, that can sometimes make you feel less alone if you get what I'm saying. For example, I'm also alone, I live in a (flat) that's the English name for an (apartment) in America; and over the past twenty plus years, my mental health has been pushed more and more to the point where attempting to end my life increasingly feel like the best option although it isn't. The flat is small in terms of room size;  the design leaves much to be desired, it lacks acoustic sound insulation and so when I go to bed at night in the cramped bedroom, sounds from the other people living in this two storey block can be heard, including the sound of cars and motorbikes going by every few minutes. I now use foam ear plugs every night before settling down to sleep because  it's impossible for me to sleep without them. My flat is also infested by moths, mice, small black flies and blue bottle ones that find their way into my cramped kitchen during the increasingly very humid summer period and both cause me to feel evermore depressed, extremely frustrated, very disillusioned, and it even makes me prone to fits of temper due to what I deal with from day to day, year after year. I think from time to time about how long I'll put up with my lot in life before either having a complete mental breakdown, or finally making an attempt to end my life? I want to carry on living, but without the things mentioned above, and more, that cause me to feel so unhappy. I've had relationships but at the present time I'm single and I sometimes wonder if its better to be on my own or would a relationship prove to be like an outlet, or means of escape from my life here in London? Like you, my self esteem at the present time, is often low and It takes much effort and willpower to get up and go out and even when I do that, I tend to carry the baggage accumulated over the past twenty years with me. I'd like to be able to suggest some practical ways that may help you to get back to how you felt before you felt so down; but at the present time I feel so low and in need of help too. The thought just occurred to me, are your parents nearby to support you? I assume that the mother of your children isn't close to you? Am I right, if you don't mind me asking such a personal question? I asked that because I also think that perhaps she'll be willing to share some time and space to listen and if possible, offer you some practical advice and support. The only other thing I can think of is to seek out a psychologist and tell him or her how you're feeling. Also, I think that talking about your health to a professional, may help you to understand what got you into the position your currently in. Perhaps, you can put your thoughts down in a diary and recall how you were feeling before the anxiety and depression started to grow. Also, I suggest that you ask yourself, what you wanted and expected from life? Did you have expectations then,  that you now realize where perhaps unreasonable or unrealistic in terms of employment, relationship, becoming a father, and human society in general and what it offers to you? How did you feel about yourself when you were a child, and teenager? Where you happy, outgoing, optimistic, ambitious, interested in other people and fascinated by life? Or, was your childhood and teenage years an unhappy experience that perhaps influenced and shaped how you feel and are now? One thing I am certain of is that to feel disillusioned during ones life is natural because human society always consists of imperfect people right across the board from schools, to college, government, family, friends, and even religion. Another thing I think it is useful to remember is that because human society isn't perfect, when problems start to rise, as they inevitable do, we should try to forgive ourselves if we react to them by feeling unhappy, stressed, and frustrated, because that's all down to the way our body is designed. It's natural even though in an ideal world, we should have more reason to feel happy, relaxed, content and optimistic about the present and future. However, the present time, when climate change, political instability, the growing threat of nuclear wars, increase in crime, people increasingly turning against each other, homelessness, drug addictions, the rise in unhealthy lifestyles that can and does lead to extreme obesity, etc, makes it increasingly difficult to have, and maintain peace in our minds and bodies. However, if we figure out our goals and what we want and are able to obtain in in life, and we are aware of the pitfalls that aren't conducive to peace in our minds and bodies, and we pursue things that are healthy and good, as well as accepting that life will always be challenging, we can get through and reach our goals. I think that the first step for you is to find someone to confide in and hopefully support you as you gradually try to work your way back to good mental and physical health and a strong loving relationship with your children and mother. Please feel free to write back if you need someone to confide in. I wish you well. From Trevor in London.",very depressed 
"I don’t even know if I have the ability to type this, I can’t think straight.  I’m really falling apart, my depression has gotten so deep.   I don’t want to go anywhere or do anything.   I don’t leave my room.   My outlook on life is terrible.  I’ve completely lost interest in everything.  when I’m not feeling totally depressed my anxiety will be intolerable.  I have a six year old son that loves me and I love him so much that I never see. and  a 15 year old daughter that doesn’t seem to want to see me.  I wait for the days to end. I don’t know how much of this I can do anymore.  if I’m out I just want to go back into my room.   I’m deeply sad… the room I live in I have been here two months and still haven’t unpacked.  I was going on walks but I can’t seem to find the courage to do that.  I’m terribly lonely but I’m not trying to have anyone around, I would want to try and be by myself I don’t understand.  the only person I feel like can help me is me.  I’m afraid I’m too exhausted to try.  ","Can I ask? Are you on an anti-depressant and if so is it perhaps the wrong one? I have suffered on and off from serious depressive disorder even though I am on an antidepressant. My therapist says sometimes I override the effectiveness of the medication. When there is just too much stress in my life, it doesn’t work as well. The chemistry in your brain sounds like it’s out of whack and you need to change or adjust your medication if you’re on one, that is.  I know there are no easy answers but I’ve been in a pretty dark place and felt so very very alone on it, but that is also a symptom of the depression. Turning to this forum and reaching out to others is a good step. We are out here. Trust me, you are not alone.",very depressed 
"I don’t even know if I have the ability to type this, I can’t think straight.  I’m really falling apart, my depression has gotten so deep.   I don’t want to go anywhere or do anything.   I don’t leave my room.   My outlook on life is terrible.  I’ve completely lost interest in everything.  when I’m not feeling totally depressed my anxiety will be intolerable.  I have a six year old son that loves me and I love him so much that I never see. and  a 15 year old daughter that doesn’t seem to want to see me.  I wait for the days to end. I don’t know how much of this I can do anymore.  if I’m out I just want to go back into my room.   I’m deeply sad… the room I live in I have been here two months and still haven’t unpacked.  I was going on walks but I can’t seem to find the courage to do that.  I’m terribly lonely but I’m not trying to have anyone around, I would want to try and be by myself I don’t understand.  the only person I feel like can help me is me.  I’m afraid I’m too exhausted to try.  ",I’m so sorry. I can relate. There was a time I just didn’t care anymore. My meds have helped. Mental issues suck! Keep writing how you feel!!! I promise it will pass! Exercise a little.. it makes you feel better! I should listen to my own advice. When I exercised I felt so much better. Glad your here!!!!!,very depressed 
"I don’t even know if I have the ability to type this, I can’t think straight.  I’m really falling apart, my depression has gotten so deep.   I don’t want to go anywhere or do anything.   I don’t leave my room.   My outlook on life is terrible.  I’ve completely lost interest in everything.  when I’m not feeling totally depressed my anxiety will be intolerable.  I have a six year old son that loves me and I love him so much that I never see. and  a 15 year old daughter that doesn’t seem to want to see me.  I wait for the days to end. I don’t know how much of this I can do anymore.  if I’m out I just want to go back into my room.   I’m deeply sad… the room I live in I have been here two months and still haven’t unpacked.  I was going on walks but I can’t seem to find the courage to do that.  I’m terribly lonely but I’m not trying to have anyone around, I would want to try and be by myself I don’t understand.  the only person I feel like can help me is me.  I’m afraid I’m too exhausted to try.  ","I'm sorry you're experiencing such strong depressive feelings. I do similar things when I get down - I lose a lot of energy and don't feel I can do anything. The irony is, of course, when we start doing things, like walking, it helps with your emotions. I don't know what your relationship is with your kids, but even if you were experiencing 100% emotional health your 15-year-old daughter might still not want to be around you. That's just part of being a teenager! Her seeming distance she keeps from you now might be, in part, to her concern for you with a lack of understanding on her part as to what she can do to help. Maybe when you feel better you can talk to her, and your son, and explain how you really feel about them. I have high hopes for you in your recovery. I know it may not be easy but the way you express yourself in your post I read a strong desire to get feeling better. Good luck!",very depressed 
"I don’t even know if I have the ability to type this, I can’t think straight.  I’m really falling apart, my depression has gotten so deep.   I don’t want to go anywhere or do anything.   I don’t leave my room.   My outlook on life is terrible.  I’ve completely lost interest in everything.  when I’m not feeling totally depressed my anxiety will be intolerable.  I have a six year old son that loves me and I love him so much that I never see. and  a 15 year old daughter that doesn’t seem to want to see me.  I wait for the days to end. I don’t know how much of this I can do anymore.  if I’m out I just want to go back into my room.   I’m deeply sad… the room I live in I have been here two months and still haven’t unpacked.  I was going on walks but I can’t seem to find the courage to do that.  I’m terribly lonely but I’m not trying to have anyone around, I would want to try and be by myself I don’t understand.  the only person I feel like can help me is me.  I’m afraid I’m too exhausted to try.  ","I like what you said that ""the only person I feel like can help me is me."" That is the same with me. I have been battling depression for 40 years or so. Some periods darker than others. Always hoping someone can pull me out.I read a couple of book that proved very helpful in getting through life depressed. Those books had exercises and task and tought me how to improve.  I have always suspected that i needed medication but didnt want it. Back in 2000 i was on antidepressants for a few years but the side affects were too much to handle and opted to cope without them. I put every into fighting. Eating right, getting out in nature, being creative. But there was always this unseen burden on my mind. I was always in a dark cloud. Over the last couple of years i seem to be loosing the mental battle against my depression so i sought the help of a Psychiatrist. He told me the new generation of antidepressants have less to no long-term side effects so i wanted to give medication a go.  I havnt been on them long but i starting to feel like a burden has been lifted. A light has been lit in the darkness. Im beginning to see how i have get out of this.  Im planning on rereading book that teach how adjust ones thoughts so as not to feed depression. With the medications help i feel like i can succeed.  Though i would share my experience.  All the best. I really hope you can get some relief.",very depressed 
