header,user,body,title
bipolar-disorder,Hidden,"And while I’m at it, can we think of a better name for    ???  Not everyone with a diagnosis of     is violent or an alcoholic or drug addict!!!!  Tired of all this stupid stigma going on.  When does it end?  People are not labels.","Yes, I agree, ADHD needs a new name!!!"
bipolar-disorder,Ladytrue,Well I went off my meds in late July. I have done well and now things are acting up again.  Going to start Trintellex tonight. I was on mirtazapine but was starting to gain weight.  Part of my anxiety is starting up new medication as well.  Ugh how I do not like this at all!,Here we go again!
bipolar-disorder,Sharkweek178,Depression isn't like people think.  It's not sadness.  It's a weight.  I don't feel like doing anything except eating and playing video games.  I know exercise would help.  But I can't get myself to do it.  I know talking to loved ones would help.  But I can't figure out how to make a call.  I manage,I'm stuck
bipolar-disorder,Bucketlady,Finally withdrawal done. No more depression meds. Lost 10 lbs and  head clearer.  Still dealing with cheating spouse. Closing on new home in another state..with him. Only thing good about it is will be so much closer to my family. Still suffer from panic attacks but thankfully few and far between.  I,Light at end of tunnel?
bipolar-disorder,GreenOpera,"Hi, I was scheduled for my last Buserelin injection on Thursday ahead of FET next week (Thursday). I thought I had just enough left in the vial but there were only a few drops when I drew it up so I didn't get a full injection (or anything close) Initially I wasn't worried, my lining looked good at D9",Ran out of Buserelin - FET
bipolar-disorder,Isabella5991,"Has anyone that’s been diagnosed with cyclothmia also had an episode of psychosis with extreme mania? (Mine was delayed post partum psychosis at 10 months) 

I’m really confused. My mental health team said I’m too complex to give a final diagnosis yet, as I’ve had lots and lots of different mental health",wrong possible diagnosis? 
bipolar-disorder,Grandmakris,"I have bipolar 1, anxiety and OCD. I have been in remission for about 15 years, but recently I have been experiencing feelings of depression and low self esteem. I have an excellent doctor and will be contacting him tomorrow. I would like to know what coping strategies others use when they feel that",Depression
bipolar-disorder,lizziebennet,Did anyone take Sertraline or another SSRI with Olanzapine. I have bad anxiety and am scared of Olanzapine because of a higher cardiac event risk. And then if you add Sertraline it can also cause adverse affects.  So anxious about Olanzapine and then both.,Sertraline or SSRI with Olanzapine 
bipolar-disorder,Sarah106,"Hello,
My brother was diagnosed with Parkinson's three years ago.  Another Consultant thinks he might have MSA or Parkinson Plus. Has anyone had MIBG Test for the MSA in West Midlands? Any recommendations for good consultants in West Midlands or nearby? Thanks",Parkinson's/ MSA Consultants in West Midlands 
bipolar-disorder,Autolupus,"So I have my rheumatology appointment next week so hopefully will get a better understanding of what's going on. In the meantime I am on mycophenalate and a  weaning dose of prednisolone for eye inflammation, started with 800mg in December and am now on 2.5mg before stopping in 2 months time. However",What's your experience of coming of steroids
bipolar-disorder,ekhctohct,I've struggled with anxiety and depression my entire life but I spent most of my 20s using drugs and alcohol as a coping mechanism. I still have some substance abuse issues but the more I deal with those the more overwhelming the depression and anxiety is. I can't seem to keep my home clean or up on,The lonely cycle
anxiety,Konspiracy,Is this just an   problem?,Anxiety & urine problems
anxiety,hollyrain,"I do have   but have felt fairly relaxed today. 

Thank you",Nose question
anxiety,dogsneverworry,I have had generalized   since I was a kid (I'm now 29) and have been taking Escitalopram for a few years and stopped four months ago. The meds worked well but I have always hoped that I wouldn't have to take them for the rest of my life.,getting back on medication
anxiety,Sandpiper14,#  #depression #bingedrinking,A new day 
anxiety,JerryMc,"Suffering with   and depression,  is there anyone to chat who is going through this condition.",Feeling Lonely 
anxiety,Blessingsandlove,"For the last couple of months, I have been dealing with major depression,   and loneliness. I have really been struggling to make it through each day. A few days ago I came close to taking my life because I didn't want to continue to experience those feelings.","Feeling alone, In need of a friend"
anxiety,dinga0,Has anyone been feeling off because of   sweat ? until you do not want to go meet people because you are scared of omitting body odor? and probably have omitted that body odor because   sweat stinks!! i need help from the intrusive thoughts.,Anxiety sweat obsessiveness 
anxiety,Chatwin88,"Hi all, 

I'm new here and struggling a lot with loneliness and social  . I manage a school in a really rural, low income area in the USA, so I spend a lot of my day coaching teachers and kids. I feel good about the work I do but empty in my personal life.",Advice on Managing Loneliness and Social Anxiety when living in the middle of nowhere
anxiety,Shield_Of_Faith,"I see everybody around me with someone and I'm happy for them but I do also get a little jealous, I have no self esteem, no confidence, I feel invisible to everyone, I don't matter and I think who would want a guy like me who is ok looking I guess idk and has severe social  ....",Hey There Again loneliness.....
anxiety,Renizzle2023,"I’m challenging both my social   and certain other fears and do go to social events with more frequency now, but pacing myself not to get overwhelmed and burn out is a challenge in itself. 


Anyway, that is what has been going on with me.",Difficult Depressive Episode 
bipolar-disorder,Mymindandme000,"Hi  everyone!  I know  a lot of you know That I talked about me having been diagnosed with bipolar! I never really did  a “Whole lot of research “  until recently and today. I just believed the psychologist and started taking meds for it.  I read that people that have the  disorder get angry a lot, and",Can someone please answer this question?
bipolar-disorder,KingkittyS,"I come now feeling depressed and defeated. I feel mostly sad than mad. I am angry about life. I had enough of people breaking my heart, by leaving me to start their new life as an adult. I am hurting deeply. Just as a background about me, I have high functioning autism, bipolar 2, and have suicidal thoughts",hello darkness 
bipolar-disorder,Starrlight,https://www.bphope.com/blog/your-eyes-hold-the-clues-how-to-read-the-eyes-to-spot-euphoric-and-dysphoric- - -mania/,Interesting article on Bipolar Disorder and how the moods change the eyes
bipolar-disorder,ElephantsHear,"I got another email thanking me for applying, but they’re going with another candidate.  I’ve worked 9 months in the last 3 years. This time around I haven’t worked in 1 year, but I’ve applied to a lot of jobs (health insurance field/ good hours/ less stress) with no success bec. of my employment history",sad and unemployed 
bipolar-disorder,Totoro25,"Hello peeps. I have recently between 1&2 months ago increased my levothyroxine from 75mg to 100mg.Thing is I've started having days where I'm extremely high and very excitable (euphoric) followed by very low days (feel sad & tearful) and exhaustion. 
The low mood days take me by surprise almost and it's",Aha - Highs & Lows
bipolar-disorder,Mrsjaytee,"I am having a nightmare getting my gp to prescribe Femara (she isnt a fertility expert and we have now cut ties with our clinic).

We considered a mild ivf cycle, but we have to postpone this idea for financial reasons.

I am going to try soy isolflavens. I am on cycle day 2. Will i start tomorrow, and",Soy Isoflavens and Black Cohosh
bipolar-disorder,Jennblank7734,"Hello. Finally I feel like there might be some hope for my living situation.  I heard back from a lawfirm I contacted to find out if everything my landlord is doing to me is legal or not. In May and June, besides all of the users and dealers she had here, there was a man that stayed for 6 weeks. I'm",I wanted to share an update.
bipolar-disorder,Wwwdot,"Hi Guys

A few weeks ago, I posted concern over hubby's bloods when GP said all was fine.

To cut a long, and sadly not unfamiliar story to you short, I managed to get him to see a private consultant who identified at least 3 other long term health niggles associated with B12D.  Hubby is now on SI treatment",B12D bloods show positive TPOAb
bipolar-disorder,Against_the_current,"Can we talk about gaslighting? I told dad mom's drinking, he said I'm imagining...even hallucinating. I have anxiety not schizophrenia. My suffering is neurotic (aka distress caused by reality) not Psychotic (aka distorted reality caused by distress and neurochemistry)Last time he gaslighted me like",It's an insult on my intelligence to be gaslighted like that 
anxiety,Lokicharmedme,I have depression and   and wonder if I need another prescription. Thanks,Wellbutrin 
anxiety,Trish23,I have periods of   that take over my brain for months at a time. All day I monitor every thought to gauge my   levels.  It’s exhausting. What do others do to break that cycle?,obsessive thoughts 
anxiety,Overthinker95,I just needed some reassurance on taking fluoxetine for depression and   for the first time.,Taking anti depressants 
anxiety,Lonepain,"Every morning same sky high anciety and debilitating depression.  Along with self loathing , guilt, rumination and obsession over past events.Family has had it with me.  Friends mostly gone.  Im 64 and life sucks.  This is how my days start .",Morning Pain
anxiety,RoanyMule,"Hello. I was on antidepressants and stimulants for nearly 30 years. I chose to discontinue Cymbalta last August based on the lack of evidence of its effectiveness for long term use or how it affects the aging brain. Looking back, I still experienced many bouts of severe depression even while taking it",Life after meds?
anxiety,Greyhoundlove,"I’m in depression recovery but trip and fall at times and it’s usually a hard fall. 


I just really feel useless and a bother. Nothing I say or do is right. I have no one to talk to besides my therapist because I have no friends and my small family are the people who say shit to remind me that I fucked",suicidal ideation 
anxiety,Browny71,"I live in the US, i have been looking for a support group for people with major depression. it seems like the general population can't relate to my feelings, and the need to take antidepressants. I am currently back on Venlafaxine which i stopped about 4 months ago. it's been 8 weeks that i am back on",new to this support group
anxiety,StephanIrle,My wife suffers from severe depression caused by the severe pain brought on by tardive dyskinesia and dystonia that appeared as the consequence of doctor-prescribed benzodiazepine use.  She has further lost much of her life quality by not being able to participate in family activities or connecting with,Looking for support for my wife
